À; [0]; À; [0]
différence; [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]; différence; [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
significative; [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]; significative; [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]
Les; [0, 1, 2]; Les; [0, 1, 2]
voyelles; [0, 1, 2, 3, 4, 5, 6, 7]; voyelles; [0, 1, 2, 3, 4, 5, 6, 7]
accentuées; [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]; accentuées; [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
comme; [0, 1, 2, 3, 4]; comme; [0, 1, 2, 3, 4]
é; [0]; é; [0]
è; [0]; è; [0]
ê; [0]; ê; [0]
et; [0, 1]; et; [0, 1]
ë; [0]; ë; [0]
ajoutent; [0, 1, 2, 3, 4, 5, 6, 7]; ajoutent; [0, 1, 2, 3, 4, 5, 6, 7]
de; [0, 1]; de; [0, 1]
la; [0, 1]; la; [0, 1]
précision; [0, 1, 2, 3, 4, 5, 6, 7, 8]; précision; [0, 1, 2, 3, 4, 5, 6, 7, 8]
aux; [0, 1, 2]; aux; [0, 1, 2]
mots; [0, 1, 2, 3]; mots; [0, 1, 2, 3]
De; [0, 1]; De; [0, 1]
même; [0, 1, 2, 3]; même; [0, 1, 2, 3]
les; [0, 1, 2]; les; [0, 1, 2]
accents; [0, 1, 2, 3, 4, 5, 6]; accents; [0, 1, 2, 3, 4, 5, 6]
circonflexes; [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]; circonflexes; [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
sur; [0, 1, 2]; sur; [0, 1, 2]
les; [0, 1, 2]; les; [0, 1, 2]
lettres; [0, 1, 2, 3, 4, 5, 6]; lettres; [0, 1, 2, 3, 4, 5, 6]
î; [0]; î; [0]
et; [0, 1]; et; [0, 1]
ô; [0]; ô; [0]
ainsi; [0, 1, 2, 3, 4]; ainsi; [0, 1, 2, 3, 4]
que; [0, 1, 2]; que; [0, 1, 2]
sur; [0, 1, 2]; sur; [0, 1, 2]
le; [0, 1]; le; [0, 1]
û; [0]; û; [0]
sont; [0, 1, 2, 3]; sont; [0, 1, 2, 3]
importants; [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]; importants; [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
dans; [0, 1, 2, 3]; dans; [0, 1, 2, 3]
des; [0, 1, 2]; des; [0, 1, 2]
mots; [0, 1, 2, 3]; mots; [0, 1, 2, 3]
tels; [0, 1, 2, 3]; tels; [0, 1, 2, 3]
que; [0, 1, 2]; que; [0, 1, 2]
île; [0, 1, 2]; île; [0, 1, 2]
hôtel; [0, 1, 2, 3, 4]; hôtel; [0, 1, 2, 3, 4]
et; [0, 1]; et; [0, 1]
coût; [0, 1, 2, 3]; coût; [0, 1, 2, 3]
Le; [0, 1]; Le; [0, 1]
caractère; [0, 1, 2, 3, 4, 5, 6, 7, 8]; caractère; [0, 1, 2, 3, 4, 5, 6, 7, 8]
œ; [0]; œ; [0]
que; [0, 1, 2]; que; [0, 1, 2]
l'on; [0, 1, 2, 3]; l'on; [0, 1, 2, 3]
trouve; [0, 1, 2, 3, 4, 5]; trouve; [0, 1, 2, 3, 4, 5]
dans; [0, 1, 2, 3]; dans; [0, 1, 2, 3]
des; [0, 1, 2]; des; [0, 1, 2]
mots; [0, 1, 2, 3]; mots; [0, 1, 2, 3]
comme; [0, 1, 2, 3, 4]; comme; [0, 1, 2, 3, 4]
cœur; [0, 1, 2, 3]; cœur; [0, 1, 2, 3]
et; [0, 1]; et; [0, 1]
sœur; [0, 1, 2, 3]; sœur; [0, 1, 2, 3]
enrichit; [0, 1, 2, 3, 4, 5, 6, 7]; enrichit; [0, 1, 2, 3, 4, 5, 6, 7]
la; [0, 1]; la; [0, 1]
langue; [0, 1, 2, 3, 4, 5]; langue; [0, 1, 2, 3, 4, 5]
En; [0, 1]; En; [0, 1]
majuscule; [0, 1, 2, 3, 4, 5, 6, 7, 8]; majuscule; [0, 1, 2, 3, 4, 5, 6, 7, 8]
cela; [0, 1, 2, 3]; cela; [0, 1, 2, 3]
donne; [0, 1, 2, 3, 4]; donne; [0, 1, 2, 3, 4]
des; [0, 1, 2]; des; [0, 1, 2]
mots; [0, 1, 2, 3]; mots; [0, 1, 2, 3]
comme; [0, 1, 2, 3, 4]; comme; [0, 1, 2, 3, 4]
Œuvre; [0, 1, 2, 3, 4]; Œuvre; [0, 1, 2, 3, 4]
Pour; [0, 1, 2, 3]; Pour; [0, 1, 2, 3]
finir; [0, 1, 2, 3, 4]; finir; [0, 1, 2, 3, 4]
n'oublions; [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]; n'oublions; [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
pas; [0, 1, 2]; pas; [0, 1, 2]
les; [0, 1, 2]; les; [0, 1, 2]
majuscules; [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]; majuscules; [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
accentuées; [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]; accentuées; [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
Éléphant; [0, 1, 2, 3, 4, 5, 6, 7]; Éléphant; [0, 1, 2, 3, 4, 5, 6, 7]
À; [0]; À; [0]
travers; [0, 1, 2, 3, 4, 5, 6]; travers; [0, 1, 2, 3, 4, 5, 6]
et; [0, 1]; et; [0, 1]
même; [0, 1, 2, 3]; même; [0, 1, 2, 3]
Ô; [0]; Ô; [0]
combien; [0, 1, 2, 3, 4, 5, 6]; combien; [0, 1, 2, 3, 4, 5, 6]
ces; [0, 1, 2]; ces; [0, 1, 2]
accents; [0, 1, 2, 3, 4, 5, 6]; accents; [0, 1, 2, 3, 4, 5, 6]
sont; [0, 1, 2, 3]; sont; [0, 1, 2, 3]
essentiels; [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]; essentiels; [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
À; [0]; À; [0]
l'ère; [0, 1, 2, 3, 4]; l'ère; [0, 1, 2, 3, 4]
de; [0, 1]; de; [0, 1]
la; [0, 1]; la; [0, 1]
modernité; [0, 1, 2, 3, 4, 5, 6, 7, 8]; modernité; [0, 1, 2, 3, 4, 5, 6, 7, 8]
l'importance; [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]; l'importance; [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
des; [0, 1, 2]; des; [0, 1, 2]
accents; [0, 1, 2, 3, 4, 5, 6]; accents; [0, 1, 2, 3, 4, 5, 6]
dans; [0, 1, 2, 3]; dans; [0, 1, 2, 3]
la; [0, 1]; la; [0, 1]
langue; [0, 1, 2, 3, 4, 5]; langue; [0, 1, 2, 3, 4, 5]
française; [0, 1, 2, 3, 4, 5, 6, 7, 8]; française; [0, 1, 2, 3, 4, 5, 6, 7, 8]
est; [0, 1, 2]; est; [0, 1, 2]
indéniable; [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]; indéniable; [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
Ç'est; [0, 1, 2, 3, 4]; Ç'est; [0, 1, 2, 3, 4]
essentiel; [0, 1, 2, 3, 4, 5, 6, 7, 8]; essentiel; [0, 1, 2, 3, 4, 5, 6, 7, 8]
pour; [0, 1, 2, 3]; pour; [0, 1, 2, 3]
bien; [0, 1, 2, 3]; bien; [0, 1, 2, 3]
écrire; [0, 1, 2, 3, 4, 5]; écrire; [0, 1, 2, 3, 4, 5]
et; [0, 1]; et; [0, 1]
comprendre; [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]; comprendre; [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
Écrire; [0, 1, 2, 3, 4, 5]; Écrire; [0, 1, 2, 3, 4, 5]
correctement; [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]; correctement; [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
n; [0]; n’est; [0]
est; [0, 1, 2]; n’est; [2, 3, 4]
pas; [0, 1, 2]; pas; [0, 1, 2]
facile; [0, 1, 2, 3, 4, 5]; facile; [0, 1, 2, 3, 4, 5]
mais; [0, 1, 2, 3]; mais; [0, 1, 2, 3]
c; [0]; c’est; [0]
est; [0, 1, 2]; c’est; [2, 3, 4]
nécessaire; [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]; nécessaire; [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
pour; [0, 1, 2, 3]; pour; [0, 1, 2, 3]
exprimer; [0, 1, 2, 3, 4, 5, 6, 7]; exprimer; [0, 1, 2, 3, 4, 5, 6, 7]
la; [0, 1]; la; [0, 1]
diversité; [0, 1, 2, 3, 4, 5, 6, 7, 8]; diversité; [0, 1, 2, 3, 4, 5, 6, 7, 8]
des; [0, 1, 2]; des; [0, 1, 2]
sons; [0, 1, 2, 3]; sons; [0, 1, 2, 3]
par; [0, 1, 2]; par; [0, 1, 2]
exemple; [0, 1, 2, 3, 4, 5, 6]; exemple; [0, 1, 2, 3, 4, 5, 6]
l'accent; [0, 1, 2, 3, 4, 5, 6, 7]; l'accent; [0, 1, 2, 3, 4, 5, 6, 7]
aigu; [0, 1, 2, 3]; aigu; [0, 1, 2, 3]
dans; [0, 1, 2, 3]; dans; [0, 1, 2, 3]
école; [0, 1, 2, 3, 4]; école; [0, 1, 2, 3, 4]
et; [0, 1]; et; [0, 1]
l'accent; [0, 1, 2, 3, 4, 5, 6, 7]; l'accent; [0, 1, 2, 3, 4, 5, 6, 7]
grave; [0, 1, 2, 3, 4]; grave; [0, 1, 2, 3, 4]
dans; [0, 1, 2, 3]; dans; [0, 1, 2, 3]
élève; [0, 1, 2, 3, 4]; élève; [0, 1, 2, 3, 4]
marquent; [0, 1, 2, 3, 4, 5, 6, 7]; marquent; [0, 1, 2, 3, 4, 5, 6, 7]
une; [0, 1, 2]; une; [0, 1, 2]
différence; [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]; différence; [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
significative; [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]; significative; [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]
Les; [0, 1, 2]; Les; [0, 1, 2]
voyelles; [0, 1, 2, 3, 4, 5, 6, 7]; voyelles; [0, 1, 2, 3, 4, 5, 6, 7]
accentuées; [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]; accentuées; [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
comme; [0, 1, 2, 3, 4]; comme; [0, 1, 2, 3, 4]
é; [0]; é; [0]
è; [0]; è; [0]
ê; [0]; ê; [0]
et; [0, 1]; et; [0, 1]
ë; [0]; ë; [0]
ajoutent; [0, 1, 2, 3, 4, 5, 6, 7]; ajoutent; [0, 1, 2, 3, 4, 5, 6, 7]
de; [0, 1]; de; [0, 1]
la; [0, 1]; la; [0, 1]
précision; [0, 1, 2, 3, 4, 5, 6, 7, 8]; précision; [0, 1, 2, 3, 4, 5, 6, 7, 8]
aux; [0, 1, 2]; aux; [0, 1, 2]
mots; [0, 1, 2, 3]; mots; [0, 1, 2, 3]
De; [0, 1]; De; [0, 1]
même; [0, 1, 2, 3]; même; [0, 1, 2, 3]
les; [0, 1, 2]; les; [0, 1, 2]
accents; [0, 1, 2, 3, 4, 5, 6]; accents; [0, 1, 2, 3, 4, 5, 6]
circonflexes; [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]; circonflexes; [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
sur; [0, 1, 2]; sur; [0, 1, 2]
les; [0, 1, 2]; les; [0, 1, 2]
lettres; [0, 1, 2, 3, 4, 5, 6]; lettres; [0, 1, 2, 3, 4, 5, 6]
î; [0]; î; [0]
et; [0, 1]; et; [0, 1]
ô; [0]; ô; [0]
ainsi; [0, 1, 2, 3, 4]; ainsi; [0, 1, 2, 3, 4]
que; [0, 1, 2]; que; [0, 1, 2]
sur; [0, 1, 2]; sur; [0, 1, 2]
le; [0, 1]; le; [0, 1]
û; [0]; û; [0]
sont; [0, 1, 2, 3]; sont; [0, 1, 2, 3]
importants; [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]; importants; [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
dans; [0, 1, 2, 3]; dans; [0, 1, 2, 3]
des; [0, 1, 2]; des; [0, 1, 2]
mots; [0, 1, 2, 3]; mots; [0, 1, 2, 3]
tels; [0, 1, 2, 3]; tels; [0, 1, 2, 3]
que; [0, 1, 2]; que; [0, 1, 2]
île; [0, 1, 2]; île; [0, 1, 2]
hôtel; [0, 1, 2, 3, 4]; hôtel; [0, 1, 2, 3, 4]
et; [0, 1]; et; [0, 1]
coût; [0, 1, 2, 3]; coût; [0, 1, 2, 3]
Le; [0, 1]; Le; [0, 1]
caractère; [0, 1, 2, 3, 4, 5, 6, 7, 8]; caractère; [0, 1, 2, 3, 4, 5, 6, 7, 8]
œ; [0]; œ; [0]
que; [0, 1, 2]; que; [0, 1, 2]
l'on; [0, 1, 2, 3]; l'on; [0, 1, 2, 3]
trouve; [0, 1, 2, 3, 4, 5]; trouve; [0, 1, 2, 3, 4, 5]
dans; [0, 1, 2, 3]; dans; [0, 1, 2, 3]
des; [0, 1, 2]; des; [0, 1, 2]
mots; [0, 1, 2, 3]; mots; [0, 1, 2, 3]
comme; [0, 1, 2, 3, 4]; comme; [0, 1, 2, 3, 4]
cœur; [0, 1, 2, 3]; cœur; [0, 1, 2, 3]
et; [0, 1]; et; [0, 1]
sœur; [0, 1, 2, 3]; sœur; [0, 1, 2, 3]
enrichit; [0, 1, 2, 3, 4, 5, 6, 7]; enrichit; [0, 1, 2, 3, 4, 5, 6, 7]
la; [0, 1]; la; [0, 1]
langue; [0, 1, 2, 3, 4, 5]; langue; [0, 1, 2, 3, 4, 5]
En; [0, 1]; En; [0, 1]
majuscule; [0, 1, 2, 3, 4, 5, 6, 7, 8]; majuscule; [0, 1, 2, 3, 4, 5, 6, 7, 8]
cela; [0, 1, 2, 3]; cela; [0, 1, 2, 3]
donne; [0, 1, 2, 3, 4]; donne; [0, 1, 2, 3, 4]
des; [0, 1, 2]; des; [0, 1, 2]
mots; [0, 1, 2, 3]; mots; [0, 1, 2, 3]
comme; [0, 1, 2, 3, 4]; comme; [0, 1, 2, 3, 4]
Œuvre; [0, 1, 2, 3, 4]; Œuvre; [0, 1, 2, 3, 4]
Pour; [0, 1, 2, 3]; Pour; [0, 1, 2, 3]
finir; [0, 1, 2, 3, 4]; finir; [0, 1, 2, 3, 4]
n'oublions; [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]; n'oublions; [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
pas; [0, 1, 2]; pas; [0, 1, 2]
les; [0, 1, 2]; les; [0, 1, 2]
majuscules; [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]; majuscules; [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
accentuées; [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]; accentuées; [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
Éléphant; [0, 1, 2, 3, 4, 5, 6, 7]; Éléphant; [0, 1, 2, 3, 4, 5, 6, 7]
À; [0]; À; [0]
travers; [0, 1, 2, 3, 4, 5, 6]; travers; [0, 1, 2, 3, 4, 5, 6]
et; [0, 1]; et; [0, 1]
même; [0, 1, 2, 3]; même; [0, 1, 2, 3]
Ô; [0]; Ô; [0]
combien; [0, 1, 2, 3, 4, 5, 6]; combien; [0, 1, 2, 3, 4, 5, 6]
ces; [0, 1, 2]; ces; [0, 1, 2]
accents; [0, 1, 2, 3, 4, 5, 6]; accents; [0, 1, 2, 3, 4, 5, 6]
sont; [0, 1, 2, 3]; sont; [0, 1, 2, 3]
essentiels; [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]; essentiels; [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
